lat,lon,alt
19.185,-99.098,2240
19.185,-99.089,2240
19.185,-99.08,2240
19.185,-99.071,2240
19.185,-99.062,2240
19.185,-99.053,2240
19.185,-99.044,2240
19.185,-99.035,2240
19.185,-99.026,2240
19.185,-99.017,2240
19.185,-99.008,2240
19.185,-98.999,2240
19.185,-98.99,2240
19.185,-98.981,2240
19.185,-98.972,2240
19.185,-98.963,2240
19.185,-98.954,2240
19.185,-98.945,2240
19.185,-98.936,2240
19.185,-98.927,2240
19.185,-98.918,2240
19.185,-98.909,2240
19.194,-99.35,2240
19.194,-99.341,2240
19.194,-99.332,2240
19.194,-99.323,2240
19.194,-99.314,2240
19.194,-99.305,2240
19.194,-99.296,2240
19.194,-99.287,2240
19.194,-99.278,2240
19.194,-99.269,2240
19.194,-99.26,2240
19.194,-99.251,2240
19.194,-99.242,2240
19.194,-99.233,2240
19.194,-99.224,2240
19.194,-99.215,2240
19.194,-99.206,2240
19.194,-99.197,2240
19.194,-99.188,2240
19.194,-99.179,2240
19.194,-99.17,2240
19.194,-99.161,2240
19.194,-99.152,2240
19.194,-99.143,2240
19.194,-99.134,2240
19.194,-99.125,2240
19.194,-99.116,2240
19.194,-99.107,2240
19.194,-99.098,2240
19.194,-99.089,2240
19.194,-99.08,2240
19.194,-99.071,2240
19.194,-99.062,2240
19.194,-99.053,2240
19.194,-99.044,2240
19.194,-99.035,2240
19.194,-99.026,2240
19.194,-99.017,2240
19.194,-99.008,2240
19.194,-98.999,2240
19.194,-98.99,2240
19.194,-98.981,2240
19.194,-98.972,2240
19.194,-98.963,2240
19.194,-98.954,2240
19.194,-98.945,2240
19.194,-98.936,2240
19.194,-98.927,2240
19.194,-98.918,2240
19.194,-98.909,2240
19.203,-99.35,2240
19.203,-99.341,2240
19.203,-99.332,2240
19.203,-99.323,2240
19.203,-99.314,2240
19.203,-99.305,2240
19.203,-99.296,2240
19.203,-99.287,2240
19.203,-99.278,2240
19.203,-99.269,2240
19.203,-99.26,2240
19.203,-99.251,2240
19.203,-99.242,2240
19.203,-99.233,2240
19.203,-99.224,2240
19.203,-99.215,2240
19.203,-99.206,2240
19.203,-99.197,2240
19.203,-99.188,2240
19.203,-99.179,2240
19.203,-99.17,2240
19.203,-99.161,2240
19.203,-99.152,2240
19.203,-99.143,2240
19.203,-99.134,2240
19.203,-99.125,2240
19.203,-99.116,2240
19.203,-99.107,2240
19.203,-99.098,2240
19.203,-99.089,2240
19.203,-99.08,2240
19.203,-99.071,2240
19.203,-99.062,2240
19.203,-99.053,2240
19.203,-99.044,2240
19.203,-99.035,2240
19.203,-99.026,2240
19.203,-99.017,2240
19.203,-99.008,2240
19.203,-98.999,2240
19.203,-98.99,2240
19.203,-98.981,2240
19.203,-98.972,2240
19.203,-98.963,2240
19.203,-98.954,2240
19.203,-98.945,2240
19.203,-98.936,2240
19.203,-98.927,2240
19.203,-98.918,2240
19.203,-98.909,2240
19.212,-99.35,2240
19.212,-99.341,2240
19.212,-99.332,2240
19.212,-99.323,2240
19.212,-99.314,2240
19.212,-99.305,2240
19.212,-99.296,2240
19.212,-99.287,2240
19.212,-99.278,2240
19.212,-99.269,2240
